frame_id,timestamp_ns,load_ms,undistort_ms,detect_ms,describe_ms,stereo_ms,stereo_retrack_ms,track_ms,preint_ms,optimize_ms,total_ms,n_features,n_stereo,n_stereo_retracked,n_tracked,n_landmarks_init,n_landmarks
65,1403715276512143104,0.000,0.304,0.000,0.000,0.000,0.000,0.358,0.000,0.000,0.717,0,0,0,271,0,0
66,1403715276562142976,0.000,0.268,0.000,0.000,0.000,0.000,0.312,0.000,0.000,0.650,0,0,0,271,0,0
67,1403715276612143104,0.000,0.242,0.000,0.000,0.000,0.000,0.337,0.000,0.000,0.632,0,0,0,271,0,0
68,1403715276662142976,0.000,0.230,0.000,0.000,0.000,0.000,0.320,0.000,0.000,0.626,0,0,0,270,0,0
69,1403715276712143104,0.000,0.244,0.000,0.000,0.000,0.000,0.316,0.000,0.000,0.609,0,0,0,270,0,0
70,1403715276762142976,0.000,0.238,0.965,0.375,0.006,0.000,0.319,0.000,8.585,11.600,15,1,112,270,213,213
71,1403715276812143104,0.000,0.237,0.000,0.000,0.000,0.000,0.343,0.000,0.000,0.632,0,0,0,285,0,0
72,1403715276862142976,0.000,0.228,0.000,0.000,0.000,0.000,0.302,0.000,0.000,0.573,0,0,0,285,0,0
73,1403715276912143104,0.000,0.279,0.000,0.000,0.000,0.000,0.311,0.000,0.000,0.644,0,0,0,285,0,0
74,1403715276962142976,0.000,0.243,0.000,0.000,0.000,0.000,0.325,0.000,0.000,0.615,0,0,0,285,0,0
75,1403715277012143104,0.000,0.365,0.000,0.000,0.000,0.000,0.389,0.000,0.000,0.864,0,0,0,285,0,0
76,1403715277062142976,0.000,0.221,0.000,0.000,0.000,0.000,0.316,0.000,0.000,0.609,0,0,0,285,0,0
77,1403715277112143104,0.000,0.294,0.000,0.000,0.000,0.000,0.485,0.000,0.000,0.839,0,0,0,285,0,0
78,1403715277162142976,0.000,0.297,0.000,0.000,0.000,0.000,0.414,0.000,0.000,0.765,0,0,0,285,0,0
79,1403715277212143104,0.000,0.242,0.000,0.000,0.000,0.000,0.309,0.000,0.000,0.599,0,0,0,285,0,0
80,1403715277262142976,0.000,0.230,0.898,0.361,0.003,0.000,0.301,0.000,14.880,17.810,6,1,107,285,217,217
81,1403715277312143104,0.000,0.366,0.000,0.000,0.000,0.000,0.606,0.000,0.000,1.049,0,0,0,291,0,0
82,1403715277362142976,0.000,0.241,0.000,0.000,0.000,0.000,0.388,0.000,0.000,0.776,0,0,0,291,0,0
83,1403715277412143104,0.000,0.289,0.000,0.000,0.000,0.000,0.434,0.000,0.000,0.789,0,0,0,291,0,0
84,1403715277462142976,0.000,0.373,0.000,0.000,0.000,0.000,0.394,0.000,0.000,0.852,0,0,0,291,0,0
85,1403715277512143104,0.000,0.249,0.000,0.000,0.000,0.000,0.373,0.000,0.000,0.679,0,0,0,291,0,0
86,1403715277562142976,0.000,0.260,0.000,0.000,0.000,0.000,0.335,0.000,0.000,0.676,0,0,0,291,0,0
87,1403715277612143104,0.000,0.256,0.000,0.000,0.000,0.000,0.328,0.000,0.000,0.640,0,0,0,291,0,0
88,1403715277662142976,0.000,0.235,0.000,0.000,0.000,0.000,0.308,0.000,0.000,0.591,0,0,0,291,0,0
89,1403715277712143104,0.000,0.255,0.000,0.000,0.000,0.000,0.324,0.000,0.000,0.632,0,0,0,291,0,0
90,1403715277762142976,0.000,0.268,0.950,0.370,0.007,0.000,0.401,0.000,14.501,17.762,10,1,112,291,221,221
91,1403715277812143104,0.000,0.258,0.000,0.000,0.000,0.000,0.327,0.000,0.000,0.669,0,0,0,301,0,0
92,1403715277862142976,0.000,0.257,0.000,0.000,0.000,0.000,0.489,0.000,0.000,0.812,0,0,0,301,0,0
93,1403715277912143104,0.000,0.250,0.000,0.000,0.000,0.000,0.324,0.000,0.000,0.630,0,0,0,301,0,0
94,1403715277962142976,0.000,0.235,0.000,0.000,0.000,0.000,0.352,0.000,0.000,0.643,0,0,0,301,0,0
95,1403715278012143104,0.000,0.232,0.000,0.000,0.000,0.000,0.324,0.000,0.000,0.617,0,0,0,301,0,0
96,1403715278062142976,0.000,0.288,0.000,0.000,0.000,0.000,0.453,0.000,0.000,0.793,0,0,0,301,0,0
97,1403715278112143104,0.000,0.256,0.000,0.000,0.000,0.000,0.526,0.000,0.000,0.849,0,0,0,301,0,0
98,1403715278162142976,0.000,0.412,0.000,0.000,0.000,0.000,0.366,0.000,0.000,0.866,0,0,0,301,0,0
99,1403715278212143104,0.000,0.289,0.000,0.000,0.000,0.000,0.370,0.000,0.000,0.855,0,0,0,301,0,0
100,1403715278262142976,0.000,0.292,1.079,0.480,0.004,0.000,0.380,0.000,27.607,31.070,5,0,110,301,228,228
101,1403715278312143104,0.000,0.291,0.000,0.000,0.000,0.000,0.491,0.000,0.000,0.859,0,0,0,306,0,0
102,1403715278362142976,0.000,0.253,0.000,0.000,0.000,0.000,0.336,0.000,0.000,0.653,0,0,0,306,0,0
